" ","score","status","future","trend","pressures","resilience"
"Index",68.91,,72.96,,,
"Food Provision",6.7,6,7.41,0,,
". Fisheries",6.71,6,7.41,0,14.89,86.32
". Mariculture",6.58,5.89,7.28,0.01,15.36,84.6
"Artisanal Fishing Opportunity",73.77,65.42,82.12,0.01,11.55,87.39
"Natural Products",45.73,39.12,52.35,0.12,11.05,88.74
"Carbon Storage",69.43,61.48,77.39,0,13.32,91.73
"Coastal Protection",28.05,25.24,30.86,0.03,30.14,91.73
"Tourism & Recreation",100,100,100,0.13,37.22,93.25
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,14.54,60.47
". Economies",100,100,100,1,14.55,82.39
"Sense of Place",86.25,85,87.49,-0.12,,
". Iconic Species",72.49,70,74.99,-0.25,15.47,87.82
". Lasting Special Places",100,100,100,0,23.08,90.97
"Clean Waters",84.74,77.54,91.95,0.06,48.96,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,12.17,86.6
". Species",95.13,90.26,100,-0.03,18.16,85.01
