" ","score","status","future","trend","pressures","resilience"
"Index",68.85,,72.91,,,
"Food Provision",4.53,4.05,5.01,0,,
". Fisheries",4.47,4,4.94,0,14.74,86.32
". Mariculture",7.77,6.95,8.58,0.01,15.36,84.6
"Artisanal Fishing Opportunity",73.79,65.42,82.16,0.01,11.35,87.39
"Natural Products",47.19,40.31,54.07,0.13,11.04,88.74
"Carbon Storage",69.49,61.48,77.51,0,12.74,91.73
"Coastal Protection",28.05,25.24,30.86,0.03,30.14,91.73
"Tourism & Recreation",100,100,100,0.13,37.22,93.25
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,14.52,60.47
". Economies",100,100,100,1,14.54,82.39
"Sense of Place",86.27,85,87.55,-0.12,,
". Iconic Species",72.55,70,75.1,-0.25,15,87.82
". Lasting Special Places",100,100,100,0,22.49,90.97
"Clean Waters",84.74,77.54,91.95,0.06,48.96,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.97,86.6
". Species",95.13,90.26,100,-0.03,17.87,85.01
