" ","score","status","future","trend","pressures","resilience"
"Index",68.71,,72.77,,,
"Food Provision",1.35,1.21,1.49,0,,
". Fisheries",1.12,1,1.24,0,14.67,86.32
". Mariculture",13.57,12.11,15.04,0.02,15.36,84.6
"Artisanal Fishing Opportunity",73.8,65.42,82.18,0.01,11.25,87.39
"Natural Products",48.9,41.71,56.08,0.13,11.04,88.74
"Carbon Storage",69.52,61.48,77.57,0,12.45,91.73
"Coastal Protection",28.05,25.24,30.86,0.03,30.14,91.73
"Tourism & Recreation",100,100,100,0.13,37.22,93.25
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,14.51,60.47
". Economies",100,100,100,1,14.53,82.39
"Sense of Place",86.29,85,87.58,-0.12,,
". Iconic Species",72.58,70,75.15,-0.25,14.76,87.82
". Lasting Special Places",100,100,100,0,22.19,90.97
"Clean Waters",84.74,77.54,91.95,0.06,48.96,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.87,86.6
". Species",95.13,90.26,100,-0.03,17.73,85.01
