" ","score","status","future","trend","pressures","resilience"
"Index",69.02,,73.1,,,
"Food Provision",6.51,5.8,7.23,0,,
". Fisheries",5.59,5,6.18,0,14.65,86.32
". Mariculture",55.59,48.43,62.74,0.1,15.36,84.6
"Artisanal Fishing Opportunity",73.8,65.42,82.19,0.01,11.23,87.39
"Natural Products",46.81,40,53.63,0.13,11.04,88.74
"Carbon Storage",69.53,61.48,77.58,0,12.39,91.73
"Coastal Protection",28.05,25.24,30.86,0.03,30.14,91.73
"Tourism & Recreation",100,100,100,0.13,37.22,93.25
"Coastal Livelihoods & Economies",100,100,100,0.78,,
". Livelihoods",100,100,100,0.56,14.51,60.47
". Economies",100,100,100,1,14.53,82.39
"Sense of Place",86.29,85,87.58,-0.12,,
". Iconic Species",72.58,70,75.16,-0.25,14.71,87.82
". Lasting Special Places",100,100,100,0,22.12,90.97
"Clean Waters",84.74,77.54,91.95,0.06,48.96,93.25
"Biodiversity",94.44,88.88,100,0.01,,
". Habitats",93.75,87.5,100,0.05,11.85,86.6
". Species",95.13,90.26,100,-0.03,17.7,85.01
