" ","score","status","future"
"Index",69.16,,73.24
"Food Provision",9.39,8.43,10.34
". Fisheries",8.47,7.57,9.36
". Mariculture",58.22,54.19,62.25
"Artisanal Fishing Opportunity",73.8,65.42,82.18
"Natural Products",45.42,38.85,51.99
"Carbon Storage",69.52,61.48,77.55
"Coastal Protection",28.05,25.24,30.86
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",86.28,85,87.57
". Iconic Species",72.57,70,75.14
". Lasting Special Places",100,100,100
"Clean Waters",84.74,77.54,91.95
"Biodiversity",94.44,88.88,100
". Habitats",93.75,87.5,100
". Species",95.13,90.26,100
